Neighbourhood_ID,Neighbourhood,PopulationCount,PopulationDensity_Per_SqKM,PopulationCount_0_14,PopulationCount_15_24,PopulationCount_25_54,PopulationCount_55_64,PopulationCount_65+,Percentage of residents do not speak English or French,Percentage of residents whose mother tongue is not English or French,Percentage of residents who do not speak offical languages at home,Percentage of residents with totoal income of $150K and over,Percentage of Household Income of Over $200K,Percentage of Non Canadian Citizen,Percentage of visible minority,Percentage with no certificate/diploma/degree,Percentage with  Bachelor degree or above,UnemploymentRate,Percentage of Movers (mobility status 1 year ago),Percentage of Movers (mobility status 5 year ago),Latitude,Longitude,No. of Robberies in 2014,No. of Robberies in 2015,No. of Robberies in 2016,No. of Robberies in 2017,No. of Robberies in 2018,No. of Robberies (2014-2018)
83,Dufferin Grove,11785,8540,1285,1065,6680,1235,1515,0.07,0.39,0.24,0.02,0.05,0.13,0.31,0.21,0.38,0.08,0.17,0.45,43.66,-79.44,24,24,18,5,12,83
84,Little Portugal,15559,12859,1400,1605,9385,1325,1855,0.08,0.34,0.19,0.03,0.06,0.11,0.28,0.18,0.43,0.06,0.25,0.56,43.65,-79.43,7,6,8,10,11,42
85,South Parkdale,21849,9583,2115,2275,12440,2475,2540,0.04,0.38,0.24,0.01,0.02,0.15,0.48,0.16,0.32,0.09,0.18,0.51,43.64,-79.45,17,22,28,26,24,117
86,Roncesvalles,14974,9851,2300,1305,7990,1690,1680,0.04,0.28,0.15,0.05,0.10,0.09,0.26,0.14,0.44,0.07,0.15,0.41,43.65,-79.44,23,33,40,30,37,163
87,High Park-Swansea,23925,4893,3540,2125,11570,2870,3800,0.01,0.29,0.11,0.09,0.16,0.06,0.19,0.08,0.54,0.06,0.15,0.42,43.64,-79.47,15,27,10,16,3,71
88,High Park North,22162,11726,2850,1890,11660,2585,3180,0.02,0.34,0.17,0.06,0.10,0.12,0.24,0.08,0.53,0.07,0.19,0.48,43.66,-79.47,31,31,36,39,28,165
89,Runnymede-Bloor West Village,10070,6333,2050,960,4605,1215,1245,0.01,0.22,0.08,0.10,0.23,0.05,0.16,0.12,0.52,0.05,0.09,0.28,43.66,-79.49,14,30,16,16,17,93
90,Junction Area,14366,5442,2190,1465,7470,1750,1500,0.03,0.31,0.16,0.03,0.08,0.07,0.30,0.14,0.43,0.06,0.12,0.37,43.67,-79.47,16,21,14,18,27,96
91,Weston-Pellam Park,11098,7601,1675,1415,5275,1415,1325,0.09,0.48,0.32,0.01,0.02,0.13,0.38,0.33,0.17,0.09,0.11,0.31,43.67,-79.46,10,13,16,10,27,76
92,Corso Italia-Davenport,14133,7478,1910,1545,6930,1740,2015,0.08,0.49,0.31,0.02,0.06,0.14,0.25,0.28,0.27,0.07,0.12,0.36,43.68,-79.45,24,23,30,31,20,128
93,Dovercourt-Wallace Emerson-Junction,36625,9819,4480,3925,19790,3935,4515,0.08,0.42,0.26,0.02,0.05,0.12,0.34,0.22,0.34,0.07,0.15,0.43,43.67,-79.44,65,56,53,73,69,318
94,Wychwood,14349,8541,1860,1320,6420,1595,3150,0.05,0.32,0.18,0.05,0.10,0.08,0.27,0.16,0.42,0.05,0.13,0.37,43.68,-79.43,10,12,10,17,17,66
95,Annex,30526,10863,2360,3750,15040,3480,5910,0.01,0.26,0.10,0.12,0.17,0.11,0.25,0.06,0.63,0.07,0.23,0.53,43.67,-79.40,56,62,63,79,54,314
96,Casa Loma,10968,5683,1200,1080,4555,1465,2675,0.01,0.20,0.07,0.17,0.25,0.08,0.17,0.05,0.61,0.07,0.17,0.48,43.68,-79.41,9,5,2,10,8,34
97,Yonge-St.Clair,12528,10708,1210,920,5960,1540,2905,0.01,0.22,0.08,0.15,0.20,0.11,0.21,0.04,0.61,0.06,0.19,0.52,43.69,-79.40,2,0,3,2,1,8
98,Rosedale-Moore Park,20923,4500,2625,2185,7925,3030,5140,0.00,0.20,0.07,0.21,0.30,0.09,0.18,0.06,0.64,0.06,0.14,0.40,43.68,-79.38,28,29,27,38,42,164
99,Mount Pleasant East,16775,5411,2980,1705,7620,2020,2455,0.01,0.22,0.09,0.14,0.23,0.09,0.23,0.07,0.58,0.07,0.13,0.36,43.70,-79.39,2,6,3,7,8,26
100,Yonge-Eglinton,11817,7162,1800,1225,5860,1325,1600,0.01,0.24,0.09,0.13,0.20,0.12,0.27,0.06,0.63,0.07,0.20,0.49,43.70,-79.40,10,7,7,9,13,46
101,Forest Hill South,10732,4380,1365,1355,4235,1530,2260,0.01,0.22,0.08,0.20,0.30,0.09,0.17,0.07,0.60,0.06,0.13,0.41,43.69,-79.41,0,1,2,2,7,12
102,Forest Hill North,12806,8054,2060,1500,5390,1725,2135,0.01,0.35,0.19,0.11,0.19,0.16,0.28,0.08,0.50,0.07,0.12,0.40,43.70,-79.43,12,8,11,8,17,56
